date,term,score
2025-10-07,"AI chip demand surge",15.82
2025-10-07,"KOSPI rebounds on foreign buying",14.6
2025-10-08,"AI chip demand surge",17.3
2025-10-08,"Interest rate cut expectations rise",15.1
2025-10-09,"quot",1332.677899982377
2025-10-09,"that",664.6332822259569
2025-10-09,"주식",646.4540446679014
2025-10-09,"ETF",580.3747890721386
2025-10-09,"market",545.3000684635349
2025-10-09,"미국",515.1590392890989
2025-10-09,"with",507.08807798104664
2025-10-09,"투자",469.9346275140408
2025-10-09,"시장",433.09162262151244
2025-10-09,"증시",427.2408626851053
2025-10-09,"Market",388.81774100984757
2025-10-09,"풍력",388.74542457910655
2025-10-09,"earnings",375.0232639417476
2025-10-09,"MACD",374.0313182899074
2025-10-09,"value",369.70171685452726
2025-10-09,"비트코인",364.6865637258622
2025-10-09,"you",353.75379933082263
2025-10-09,"금리",341.1914531029537
2025-10-09,"반도체",340.6535200785722
2025-10-09,"are",339.77961714154026
2025-10-09,"quot quot",333.6260837799108
2025-10-09,"Inc",333.0641570889114
2025-10-09,"has",327.76006756103277
2025-10-09,"분석",322.63080098848025
2025-10-09,"있다",321.19969582498027
2025-10-09,"달러",319.3750618434365
2025-10-09,"its",318.7377381545208
2025-10-09,"세계",316.8350884526464
2025-10-09,"李대통령",314.92157124124435
2025-10-09,"What",314.49734324917466
